	Center	Punct\cont	X	VERB	N\P	S_O	Time	KNOW	Perso?	Act				Full context
main	уж		вам	-	P	S	present		1					― Кому-то, может, и нельзя, но ужвам―то, конечно, можно. [Владимир Войнович. Москва 2042 (1986)] [омонимия не снята]
main	уж		вы	вернуть	P	S	future		1	1				― А ужвы-товсё на старые рельсы хотите вернуть? [Василий Гроссман. Жизнь и судьба, часть 2 (1960)] [омонимия снята]
main	Уж		его	аннигилировать	P	S	future		1	1				― спросил я. ― Ужеготовы, конечно, аннигилируете. ― Не аннигилируем, а утилизируем, переработаем и в виде вторичного продукта отправим на его родину. [Владимир Войнович. Москва 2042 (1986)] [омонимия не снята]
main	уж		её	-	P	O	present		1					Про Елену и говорить нечего, ужеё-тожизнь как на ладони: и добрая, и тихая, и сердобольная, всех кошек жалела, а про Флотова-то забыла? [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
main	уж		её	поблагодарить	P	O	past		1	1				Акт унижения власти пришлось отложить до лучших времён, поскольку Галина Леонидовна исчезла, а уж её-то стоило поблагодарить: в Андрее Николаевиче закопошилась смелая до безумия идея ― как изменить общественный строй в СССР. [Анатолий Азольский. Лопушок // «Новый Мир», 1998] [омонимия снята]
main	уж		её	отпускать	P	O	present		1					И самое страшное, что ужеетоу меня нет ни малейшего желания отпускать. [Андрей Белянин. Свирепый ландграф (1999)] [омонимия не снята]
main	уж		её	хватать	P	O	past							Свадьба была многолюдной, хоть и бедной, но журналистской братии лишь бы водки побольше, а ужеетохватало. [Елена Белкина. От любви до ненависти (2002)] [омонимия не снята]
main	Уж		ему	сказать	P	O	past		1	1				Ужемутонельзя было сказать: «аще не будете, как дети…» . [В. М. Чернов. Перед бурей. Воспоминания (1953)] [омонимия не снята]
main	Уж		им	бояться	P	S	present		1					"Сукины дети, ― думал он. ― Ужим-то, рабочим, бояться нечего". [Василий Гроссман. Жизнь и судьба, часть 3 (1960)] [омонимия снята]
main	уж		им	позавидовать	P	O	future		1					[letchikleha, nick] На северном побережье средизамного моря на данный момент базируются куча отечественных компаний: Sky Express, Red Wings, Уральские авиалинии, Оренбург, I Fly, Nord Wind, так же был замечен в гостинице экипаж «нацпера» (вот кому, кому, а уж им то не позавидуешь, из разговора с ними стало ясно, что так, как планируют их, лучше застрелиться сразу… [коллективный. Форум: Млечный путь над Анталией (2011)] [омонимия не снята]
