	Center	Punct\cont	X	VERB	Time	N\P	S_O	KNOW	Perso?	Act				Full context
main	Уж		этот	отмаливаться	present	P	S							― А потом поняла ― нет, не могу… Ужэтот-тогрех не отмаливается. И за неё кто-то должен молиться… [Вера Белоусова. Второй выстрел (2000)] [омонимия снята]
main	уж		этот	сомневаться	past	P	S		1					А Крымов ― жёсткий, идейный коммунист, фанатик, ужэтот-тоне сомневался, а вот арестован. [Василий Гроссман. Жизнь и судьба, часть 3 (1960)] [омонимия снята]
main	уж		я	быть виноватым	past	P	S		1					― Я не знаю… ― забормотала она. ― Ведь никто не был виноват, ужя-тоне виновата, это доказано, и те трое, которых ты знаешь, тоже… [Василий Аксенов. Пора, мой друг, пора (1963)] [омонимия снята]
main	уж		я	сметь коснуться	present	P	S		1	1				― Уж кто-кто, ― ответила она, хохоча, ― а ужя-тосмею коснуться! ― и второй раз раздался сухой треск зонтика, отскочившего от головы Аркадия Аполлоновича. [М. А. Булгаков. Мастер и Маргарита, часть 1 (1929-1940)] [омонимия снята]
main	Уж		им	быть известоно	past	P	O	1	1					Ужимтовсе было известно про нас, ― даже то, чего никогда не было… [Светлана Аллилуева. Двадцать писем другу (1963)] [омонимия не снята]
main	Уж		я	обнимать	past	P	S		1	1				Ужятоее обнимал и целовал, и прижимался к ней! [В. Н. Гельфанд. Дневники 1944-1946 гг. (1944-1946)] [омонимия не снята]
main	Уж		им	быть известным	past	P	S	1	1					Ужимтовсе было известно про нас, ― даже то, чего никогда не было… [Светлана Аллилуева. Двадцать писем другу (1963)] [омонимия не снята]
main	уж		я	стараться	past	P	S		1					― сказал Мишка Смирнов, ― ни одна немецкая баба не ревела, когда я уезжал. А ужятостарался! Чем ты ее приворожил? [Н. Н. Никулин. Воспоминания о войне (1975)] [омонимия не снята]
main	уж		он	знать	past	P	S	1	1					Он видел пружинистую прядь, всегда выбивавшуюся из пучка и петлёй висящую ото лба к уху, видел скулу и кончик носа, сгорал стыдом и желанием и отдал бы в этот миг без колебаний лучшее, чем владел, ― свой безымянный дар, ― чтобы вернуть счастливую простоту и лёгкость, с которой ещё недавно он мог положить указательный палец в ямку под мягким пучком волос и провести от шеи вниз , по узкому позвоночнику, уложенному в ровном желобке вдоль спины, до чуть выпуклого крестца, ― Os sacrum, сакральная кость… почему, кстати, сакральная именно эта? ― и ниже, раздвинув плотно сжатые Musculus glutaeus maximus, миновав нежно-складчатый бутон Anus, проскользнуть в тайную складку Perineum, развести закрытые Labium majus, робкие Vestibulum vaginae, коснуться атласной влажной слизистой ― ужон-тознал всю эту анатомию, морфологию, гистологию, ― приласкать пальцем продолговатое зёрнышко Corpus clitoridis ― пропуск, пробел, сердцебиение… дальше, дальше, ― пройти по редколесью волос, под которым изгиб Mons pubis, перешагнуть через косметический, двойного шитья шов― не знал, что для себя старался, ― подняться к маленькому, с мелкой воронкой пупку, пройти между разбежавшихся в разные стороны, заострённых к соску грудей и остановиться у подключичной ямки так, чтобы под ладонью расходились фигурные скобочки ключиц… [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
main	уж		он	знать	past	P	S	1	1					Другой бы принял этот инструмент за ритуальный, масонский или за такой, как у путевых обходчиков, но ужон-то, Башуцкий, знал эти железные молотки на длинной деревянной ручке… [Юрий Давыдов. Синие тюльпаны (1988-1989)] [омонимия снята]
main	Уж		она	знать 	past	P	S	1	1					Ужона-тоточно знала, что с отцом что-то не так! [Вера Белоусова. Второй выстрел (2000)] [омонимия снята]
main	Уж		она	знать	past	P	S	1	1					Ужона-тознала, что такое шикарный ресторан, её отец именно был директором шикарного), поговорили ещё о костре… но цены на хлеб и масло были более животрепещущим предметом беседы. [Эдуард Лимонов. У нас была Великая Эпоха (1987)] [омонимия снята]
main	уж		она	знать	present	P	S	1	1					Весь ее вид говорил о том, что ужонатознает, чем все это кончится. [Андрей Белянин. Свирепый ландграф (1999)] [омонимия не снята]
main	Уж		я	знать	present	P	S	1	1					В классе было 39 учеников, мы беседовали как минимум с 39 родителями (не все семьи были полными), ― и, проводя ежедневно с детьми по 8-9 часов в тесном общении, мы убедились в полной несостоятельности гордых заявлений некоторых родителей: "Ужя-тосвоего сына (дочь) знаю! [М. Э. Боцманова, Р. Д. Триггер. Изучение психологии подростка в лаборатории Д.Б. Эльконина // «Вопросы психологии», 2004] [омонимия снята]
main	уж		я	знать	present	P	S	1	1					Во-первых, Альфред никогда в жизни ничего для него не писал. Поверь мне, ужя-тознаю. Как ты не понимаешь, Спиваков ― это не музыкант Шнитке, не герой его романа. [Сати Спивакова. Не всё (2002)] [омонимия снята]
main	уж		я	знать	present	P	S	1	1					Ну ужя-тознаю, что чепуха. [Юрий Трифонов. Предварительные итоги (1970)] [омонимия снята]
main	уж		я	знать	past	P	S	1	1					После всего-всего, что я пережил, ужя-тоточно знал, что если руки человека это чудо, то уж го-ло-ва это самое расчудесное чудо из всех расчудесных чудес. [Валерий Медведев. Баранкин, будь человеком! (1957)] [омонимия снята]
